county,median_household_income,land area,population,density
"Adair County, Kentucky",24055,405,18656,46
"Allen County, Kentucky",31238,344,19956,58
"Anderson County, Kentucky",45433,202,21421,106
"Ballard County, Kentucky",32130,247,8249,33
"Barren County, Kentucky",31240,488,42173,87
"Bath County, Kentucky",26018,279,11591,42
"Bell County, Kentucky",19057,359,28691,80
"Boone County, Kentucky",53593,246,118811,482
"Bourbon County, Kentucky",35038,290,19985,69
"Boyd County, Kentucky",32749,160,49542,310
"Boyle County, Kentucky",35241,180,28432,158
"Bracken County, Kentucky",34823,206,8488,41
"Breathitt County, Kentucky",19155,492,13878,28
"Breckinridge County, Kentucky",30554,567,20059,35
"Bullitt County, Kentucky",45106,297,74319,250
"Butler County, Kentucky",29405,426,12690,30
"Caldwell County, Kentucky",28686,345,12984,38
"Calloway County, Kentucky",30134,385,37191,97
"Campbell County, Kentucky",41903,151,90336,597
"Carlisle County, Kentucky",30087,189,5104,27
"Carroll County, Kentucky",35925,129,10811,84
"Carter County, Kentucky",26427,410,27720,68
"Casey County, Kentucky",21580,444,15955,36
"Christian County, Kentucky",31177,718,73955,103
"Clark County, Kentucky",39946,252,35613,141
"Clay County, Kentucky",16271,469,21730,46
"Clinton County, Kentucky",19563,197,10272,52
"Crittenden County, Kentucky",29060,360,9315,26
"Cumberland County, Kentucky",21572,305,6856,22
"Daviess County, Kentucky",36813,458,96656,211
"Edmonson County, Kentucky",25413,303,12161,40
"Elliott County, Kentucky",21014,234,7852,34
"Estill County, Kentucky",23318,253,14672,58
"Fayette County, Kentucky",39813,284,295803,1043
"Fleming County, Kentucky",27990,349,14348,41
"Floyd County, Kentucky",21168,393,39451,100
"Franklin County, Kentucky",40011,208,49285,237
"Fulton County, Kentucky",24382,206,6813,33
"Gallatin County, Kentucky",36422,101,8589,85
"Garrard County, Kentucky",34284,230,16912,74
"Grant County, Kentucky",38438,258,24662,96
"Graves County, Kentucky",30874,552,37121,67
"Grayson County, Kentucky",27639,497,25746,52
"Green County, Kentucky",25463,286,11258,39
"Greenup County, Kentucky",32142,344,36910,107
"Hancock County, Kentucky",36914,188,8565,46
"Hardin County, Kentucky",37744,623,105543,169
"Harlan County, Kentucky",18665,466,29278,63
"Harrison County, Kentucky",36210,306,18846,62
"Hart County, Kentucky",25378,412,18199,44
"Henderson County, Kentucky",35892,437,46250,106
"Henry County, Kentucky",37263,286,15416,54
"Hickman County, Kentucky",31615,242,4902,20
"Hopkins County, Kentucky",30868,542,46920,87
"Jackson County, Kentucky",20177,345,13494,39
"Jefferson County, Kentucky",39457,380,741096,1948
"Jessamine County, Kentucky",40096,172,48586,282
"Johnson County, Kentucky",24911,262,23356,89
"Kenton County, Kentucky",43906,160,159720,997
"Knott County, Kentucky",20373,352,16346,47
"Knox County, Kentucky",18294,386,31883,83
"Larue County, Kentucky",32056,262,14193,54
"Laurel County, Kentucky",27015,434,58849,136
"Lawrence County, Kentucky",21610,416,15860,38
"Lee County, Kentucky",18544,209,7887,38
"Leslie County, Kentucky",18546,401,11310,28
"Letcher County, Kentucky",21110,338,24519,73
"Lewis County, Kentucky",22208,483,13870,29
"Lincoln County, Kentucky",26542,334,24742,74
"Livingston County, Kentucky",31776,313,9519,30
"Logan County, Kentucky",32474,552,26835,49
"Lyon County, Kentucky",31694,214,8314,39
"McCracken County, Kentucky",33865,437,82916,190
"McCreary County, Kentucky",19348,308,13333,43
"McLean County, Kentucky",29675,343,19820,58
"Madison County, Kentucky",32861,301,31448,104
"Magoffin County, Kentucky",19421,230,12929,56
"Marion County, Kentucky",30387,240,17490,73
"Marshall County, Kentucky",35573,249,65565,264
"Martin County, Kentucky",18279,427,18306,43
"Mason County, Kentucky",30195,252,9531,38
"Meade County, Kentucky",36966,305,28602,94
"Menifee County, Kentucky",22064,204,6306,31
"Mercer County, Kentucky",35555,249,21331,86
"Metcalfe County, Kentucky",23540,290,10099,35
"Monroe County, Kentucky",22356,329,10963,33
"Montgomery County, Kentucky",31746,197,26499,134
"Morgan County, Kentucky",21869,381,13923,37
"Muhlenberg County, Kentucky",28566,467,31499,67
"Nelson County, Kentucky",39010,418,43437,104
"Nicholas County, Kentucky",29886,195,7135,37
"Ohio County, Kentucky",29557,587,23842,41
"Oldham County, Kentucky",63229,187,60316,322
"Owen County, Kentucky",33310,351,10841,31
"Owsley County, Kentucky",15805,197,4755,24
"Pendleton County, Kentucky",38125,277,14877,54
"Perry County, Kentucky",22089,340,28712,85
"Pike County, Kentucky",23930,787,65024,83
"Powell County, Kentucky",25515,179,12613,70
"Pulaski County, Kentucky",27370,658,63063,96
"Robertson County, Kentucky",30581,100,2282,23
"Rockcastle County, Kentucky",23475,317,17056,54
"Rowan County, Kentucky",28055,280,23333,83
"Russell County, Kentucky",22042,254,17565,69
"Scott County, Kentucky",47081,282,47173,167
"Shelby County, Kentucky",45534,380,42074,111
"Simpson County, Kentucky",36432,234,17327,74
"Spencer County, Kentucky",47042,187,17061,91
"Taylor County, Kentucky",28089,266,24512,92
"Todd County, Kentucky",29718,375,12460,33
"Trigg County, Kentucky",33002,441,14339,32
"Trimble County, Kentucky",36192,152,8809,58
"Union County, Kentucky",35018,343,15007,44
"Warren County, Kentucky",36151,542,113792,210
"Washington County, Kentucky",33136,297,11717,39
"Wayne County, Kentucky",20863,458,20813,45
"Webster County, Kentucky",31529,332,13621,41
"Whitley County, Kentucky",22075,438,35637,81
"Wolfe County, Kentucky",19310,222,7355,33
"Woodford County, Kentucky",49491,189,24939,132
