county_code,county,Election_Year,total_reg,total_number_voting,total_percent_turnout,dem_reg,dem_voting,dem_percent_turnout,rep_reg,rep_voting,rep_percent_turnout,other_reg,other_voting,other_percent_turnout
1,ADAIR,2016,"13,622","8,315",61,"3,815","2,183",57.2,"9,026","5,778",64,781,354,45.3
2,ALLEN,2016,"14,426","8,210",56.9,"4,791","2,503",52.2,"8,621","5,340",61.9,"1,014",367,36.2
3,ANDERSON,2016,"17,722","11,570",65.3,"9,803","6,392",65.2,"6,697","4,610",68.8,"1,222",568,46.5
4,BALLARD,2016,"6,406","4,156",64.9,"4,482","2,940",65.6,"1,614","1,087",67.3,310,129,41.6
5,BARREN,2016,"30,762","18,470",60,"16,307","9,496",58.2,"12,457","8,117",65.2,"1,998",857,42.9
6,BATH,2016,"9,213","4,690",50.9,"7,225","3,637",50.3,"1,579",899,56.9,409,154,37.7
7,BELL,2016,"21,139","9,890",46.8,"9,196","3,792",41.2,"10,872","5,772",53.1,"1,071",326,30.4
8,BOONE,2016,"98,668","58,421",59.2,"32,289","17,613",54.5,"53,291","34,412",64.6,"13,088","6,396",48.9
9,BOURBON,2016,"14,651","8,906",60.8,"9,188","5,641",61.4,"4,484","2,839",63.3,979,426,43.5
10,BOYD,2016,"39,269","20,858",53.1,"21,335","10,969",51.4,"14,512","8,592",59.2,"3,422","1,297",37.9
11,BOYLE,2016,"21,602","13,181",61,"11,655","7,161",61.4,"8,301","5,282",63.6,"1,646",738,44.8
12,BRACKEN,2016,"6,303","3,637",57.7,"4,477","2,557",57.1,"1,538",954,62,288,126,43.8
13,BREATHITT,2016,"11,701","5,939",50.8,"10,355","5,325",51.4,"1,023",496,48.5,323,118,36.5
14,BRECKINRIDGE,2016,"14,989","8,930",59.6,"7,010","3,994",57,"7,036","4,539",64.5,943,397,42.1
15,BULLITT,2016,"57,947","36,474",62.9,"27,029","16,593",61.4,"25,445","17,337",68.1,"5,473","2,544",46.5
16,BUTLER,2016,"9,375","5,644",60.2,"2,169","1,115",51.4,"6,860","4,387",64,346,142,41
17,CALDWELL,2016,"10,070","6,051",60.1,"6,771","4,134",61.1,"2,754","1,696",61.6,545,221,40.6
18,CALLOWAY,2016,"29,282","16,289",55.6,"16,833","9,597",57,"9,661","5,585",57.8,"2,788","1,107",39.7
19,CAMPBELL,2016,"71,725","43,203",60.2,"29,689","17,178",57.9,"32,756","21,505",65.7,"9,280","4,520",48.7
20,CARLISLE,2016,"4,011","2,632",65.6,"2,879","1,898",65.9,996,676,67.9,136,58,42.6
21,CARROLL,2016,"7,832","3,915",50,"5,867","3,029",51.6,"1,445",743,51.4,520,143,27.5
22,CARTER,2016,"19,824","10,469",52.8,"11,164","5,652",50.6,"7,338","4,364",59.5,"1,322",453,34.3
23,CASEY,2016,"10,942","6,529",59.7,"1,950",950,48.7,"8,638","5,419",62.7,354,160,45.2
24,CHRISTIAN,2016,"50,265","22,413",44.6,"27,373","13,039",47.6,"17,976","8,150",45.3,"4,916","1,224",24.9
25,CLARK,2016,"28,073","16,551",59,"15,104","8,947",59.2,"10,470","6,648",63.5,"2,499",956,38.3
26,CLAY,2016,"14,662","6,895",47,"1,937",779,40.2,"12,344","5,980",48.4,381,136,35.7
27,CLINTON,2016,"7,491","4,527",60.4,"1,254",699,55.7,"6,110","3,770",61.7,127,58,45.7
28,CRITTENDEN,2016,"6,683","4,080",61.1,"2,889","1,637",56.7,"3,286","2,226",67.7,508,217,42.7
29,CUMBERLAND,2016,"5,396","3,132",58,826,391,47.3,"4,371","2,665",61,199,76,38.2
30,DAVIESS,2016,"72,731","46,445",63.9,"40,883","26,193",64.1,"26,238","17,514",66.8,"5,610","2,738",48.8
31,EDMONSON,2016,"9,053","5,351",59.1,"2,778","1,436",51.7,"5,836","3,755",64.3,439,160,36.4
32,ELLIOTT,2016,"5,213","2,913",55.9,"4,580","2,584",56.4,429,244,56.9,204,85,41.7
33,ESTILL,2016,"10,526","5,729",54.4,"4,175","2,079",49.8,"5,727","3,423",59.8,624,227,36.4
34,FAYETTE,2016,"224,659","139,390",62,"116,403","73,567",63.2,"83,145","52,893",63.6,"25,111","12,930",51.5
35,FLEMING,2016,"10,735","6,373",59.4,"6,626","3,830",57.8,"3,535","2,334",66,574,209,36.4
36,FLOYD,2016,"30,446","16,902",55.5,"25,321","14,105",55.7,"4,122","2,421",58.7,"1,003",376,37.5
37,FRANKLIN,2016,"36,722","24,358",66.3,"25,293","17,030",67.3,"9,026","6,182",68.5,"2,403","1,146",47.7
38,FULTON,2016,"5,477","2,392",43.7,"3,880","1,738",44.8,"1,165",550,47.2,432,104,24.1
39,GALLATIN,2016,"6,384","3,409",53.4,"3,848","2,063",53.6,"2,050","1,172",57.2,486,174,35.8
40,GARRARD,2016,"12,982","7,703",59.3,"4,060","2,239",55.1,"7,765","5,057",65.1,"1,157",407,35.2
